Neighborhood,Year,Fair or Poor rate
Sunset Park,2005,0.188
Crown Heights North,2005,0.455
Crown Heights South,2005,0.484
Bay Ridge,2005,0.093
Bensonhurst,2005,0.12
Borough Park,2005,0.158
Coney Island,2005,0.175
Flatbush/Midwood,2005,0.354
Sheepshead Bay,2005,0.107
Brownsville,2005,0.483
East Flatbush,2005,0.359
Canarsie,2005,0.168
Astoria,2005,0.146
Sunnyside/Woodside,2005,0.191
Jackson Heights,2005,0.19
Elmhurst/Corona,2005,0.344
Ridgewood/Glendale,2005,0.135
Rego Park/Forest Hills,2005,0.091
Flushing,2005,0.123
Fresh Meadows/Briarwood,2005,0.116
Woodhaven,2005,0.173
Howard Beach,2005,0.115
Bayside,2005,0.091
Jamaica/St. Albans,2005,0.341
Queens Village,2005,0.062
The Rockaways,2005,0.248
St. George,2005,0.209
South Beach,2005,0.026
Tottenville,2005,0.027
New York City,2005,0.225
Bronx,2005,0.35
Manhattan,2005,0.202
Brooklyn,2005,0.257
Queens,2005,0.167
Staten Island,2005,0.091
Battery Park/Tribeca,2002,0.129
Greenwich Village,2002,0.129
Lower East Side,2002,0.462
Chelsea/Clinton,2002,0.167
Midtown Business District,2002,0.167
Murray Hill/Stuyvesant,2002,0.078
Upper West Side,2002,0.087
Upper East Side,2002,0.049
Manhattanville,2002,0.407
Central Harlem,2002,0.521
East Harlem,2002,0.405
Washington Heights,2002,0.458
Mott Haven,2002,0.571
Hunts Point,2002,0.571
Morrisania,2002,0.578
Concourse/Highbridge,2002,0.671
University Heights,2002,0.673
East Tremont,2002,0.578
Bedford Park,2002,0.468
Riverdale,2002,0.247
Unionport/Soundview,2002,0.37
Throgs Neck,2002,0.113
Pelham Parkway,2002,0.271
Williamsbridge,2002,0.233
Williamsburg/Greenpoint,2002,0.134
Fort Greene/Brooklyn Hts,2002,0.242
Bedford Stuyvesant,2002,0.442
Bushwick,2002,0.519
East New York,2002,0.421
Park Slope,2002,0.158
Sunset Park,2002,0.298
Crown Heights North,2002,0.425
Crown Heights South,2002,0.441
Bay Ridge,2002,0.085
Bensonhurst,2002,0.102
Borough Park,2002,0.205
Coney Island,2002,0.225
Flatbush/Midwood,2002,0.345
Sheepshead Bay,2002,0.127
Brownsville,2002,0.485
East Flatbush,2002,0.27
Canarsie,2002,0.185
Astoria,2002,0.139
Sunnyside/Woodside,2002,0.159
Jackson Heights,2002,0.207
Elmhurst/Corona,2002,0.319
Ridgewood/Glendale,2002,0.133
Rego Park/Forest Hills,2002,0.084
Flushing,2002,0.122
Fresh Meadows/Briarwood,2002,0.135
Woodhaven,2002,0.215
Howard Beach,2002,0.116
Bayside,2002,0.072
Jamaica/St. Albans,2002,0.264
Queens Village,2002,0.116
The Rockaways,2002,0.219
St. George,2002,0.212
South Beach,2002,0.045
Tottenville,2002,0.028
New York City,2002,0.255
Bronx,2002,0.429
Manhattan,2002,0.248
Brooklyn,2002,0.278
Queens,2002,0.161
Staten Island,2002,0.098
New York City,2014,0.23303
Bronx,2014,0.3971
Brooklyn,2014,0.26975
Manhattan,2014,0.17528
Queens,2014,0.16318
Staten Island,2014,0.13457
Mott Haven,2014,0.61197
Hunts Point,2014,0.61197
Morrisania,2014,0.54199
Concourse/Highbridge,2014,0.46276
University Heights,2014,0.54477
East Tremont,2014,0.54199
Bedford Park,2014,0.44489
Riverdale,2014,0.21477
Unionport/Soundview,2014,0.4052
Throgs Neck,2014,0.15978
Pelham Parkway,2014,0.23043
Williamsbridge,2014,0.30529
Williamsburg/Greenpoint,2014,0.23395
Fort Greene/Brooklyn Hts,2014,0.18333
Bedford Stuyvesant,2014,0.44825
Bushwick,2014,0.48872
East New York,2014,0.44811
Park Slope,2014,0.09918
Sunset Park,2014,0.19466
Crown Heights North,2014,0.36462
Crown Heights South,2014,0.28963
Bay Ridge,2014,0.1397
Bensonhurst,2014,0.1239
Borough Park,2014,0.1574
Coney Island,2014,0.24049
Flatbush/Midwood,2014,0.27955
Sheepshead Bay,2014,0.12958
Brownsville,2014,0.66025
East Flatbush,2014,0.36104
Canarsie,2014,0.20063
Battery Park/Tribeca,2014,0.08787
Greenwich Village,2014,0.08787
Lower East Side,2014,0.33754
Chelsea/Clinton,2014,0.12239
Midtown Business District,2014,0.12239
Murray Hill/Stuyvesant,2014,0.04662
Upper West Side,2014,0.07213
Upper East Side,2014,0.03979
Manhattanville,2014,0.32516
Central Harlem,2014,0.32105
East Harlem,2014,0.42419
Washington Heights,2014,0.31844
Astoria,2014,0.15587
Sunnyside/Woodside,2014,0.09085
Jackson Heights,2014,0.14878
Elmhurst/Corona,2014,0.21166
Ridgewood/Glendale,2014,0.12752
Rego Park/Forest Hills,2014,0.07548
Flushing,2014,0.13991
Fresh Meadows/Briarwood,2014,0.18529
Woodhaven,2014,0.1526
Howard Beach,2014,0.13908
Bayside,2014,0.04287
Jamaica/St. Albans,2014,0.27526
Queens Village,2014,0.15671
The Rockaways,2014,0.34921
St. George,2014,0.21639
South Beach,2014,0.13194
Tottenville,2014,0.04225
New York City,2017,0.19314
Bronx,2017,0.37487
Brooklyn,2017,0.19567
Manhattan,2017,0.14684
Queens,2017,0.14124
Staten Island,2017,0.10324
Battery Park/Tribeca,2017,0.05444
Greenwich Village,2017,0.05444
Lower East Side,2017,0.25385
Chelsea/Clinton,2017,0.07852
Midtown Business District,2017,0.07852
Murray Hill/Stuyvesant,2017,0.0444
Upper West Side,2017,0.08088
Upper East Side,2017,0.04551
Manhattanville,2017,0.22774
Central Harlem,2017,0.29296
East Harlem,2017,0.39903
Washington Heights,2017,0.22845
Mott Haven,2017,0.54279
Hunts Point,2017,0.54279
Morrisania,2017,0.53826
Concourse/Highbridge,2017,0.49205
University Heights,2017,0.50894
East Tremont,2017,0.53826
Bedford Park,2017,0.44625
Riverdale,2017,0.20038
Unionport/Soundview,2017,0.29184
Throgs Neck,2017,0.14247
Pelham Parkway,2017,0.2095
Williamsbridge,2017,0.36578
Williamsburg/Greenpoint,2017,0.13956
Fort Greene/Brooklyn Hts,2017,0.15385
Bedford Stuyvesant,2017,0.24161
Bushwick,2017,0.31797
East New York,2017,0.30773
Park Slope,2017,0.08395
Sunset Park,2017,0.14605
Crown Heights North,2017,0.21626
Crown Heights South,2017,0.27164
Bay Ridge,2017,0.09483
Bensonhurst,2017,0.09505
Borough Park,2017,0.10592
Coney Island,2017,0.21346
Flatbush/Midwood,2017,0.18799
Sheepshead Bay,2017,0.10836
Brownsville,2017,0.47465
East Flatbush,2017,0.26991
Canarsie,2017,0.20703
Astoria,2017,0.16036
Sunnyside/Woodside,2017,0.11829
Jackson Heights,2017,0.16027
Elmhurst/Corona,2017,0.18427
Ridgewood/Glendale,2017,0.05665
Rego Park/Forest Hills,2017,0.06314
Flushing,2017,0.14171
Fresh Meadows/Briarwood,2017,0.12767
Woodhaven,2017,0.10946
Howard Beach,2017,0.14332
Bayside,2017,0.01986
Jamaica/St. Albans,2017,0.25748
Queens Village,2017,0.12308
The Rockaways,2017,0.26162
St. George,2017,0.17789
South Beach,2017,0.08909
Tottenville,2017,0.03197
