Neighborhood,Year,Homeless Families
Brooklyn,2010,4.25423
Williamsburg/Greenpoint,2010,1.78542
Fort Greene/Brooklyn Hts,2010,1.98623
Bedford Stuyvesant,2010,10.74716
Bushwick,2010,8.96401
East New York,2010,11.87255
Park Slope,2010,1.75059
Sunset Park,2010,2.06295
Crown Heights North,2010,7.2815
Crown Heights South,2010,4.83077
Bay Ridge,2010,0.39428
Bensonhurst,2010,0.6194
Borough Park,2010,0.49036
Coney Island,2010,2.60175
Flatbush/Midwood,2010,3.55802
Sheepshead Bay,2010,0.54874
Brownsville,2010,15.55965
East Flatbush,2010,5.69827
Canarsie,2010,2.40448
Queens,2010,1.85443
Astoria,2010,1.47873
Sunnyside/Woodside,2010,0.51302
Jackson Heights,2010,1.45509
Elmhurst/Corona,2010,1.0886
Ridgewood/Glendale,2010,0.96026
Rego Park/Forest Hills,2010,0.06087
Flushing,2010,0.45094
Fresh Meadows/Briarwood,2010,0.74072
Woodhaven,2010,2.38708
Howard Beach,2010,1.51875
Bayside,2010,0.14559
Jamaica/St. Albans,2010,6.83583
Queens Village,2010,2.14787
The Rockaways,2010,6.23469
Staten Island,2010,1.83638
St. George,2010,4.48754
South Beach,2010,0.44698
Tottenville,2010,0.18499
New York City,2011,3.72404
Manhattan,2011,1.6616
Battery Park/Tribeca,2011,0.22725
Greenwich Village,2011,0.15437
Lower East Side,2011,1.75019
Chelsea/Clinton,2011,0.70489
Midtown Business District,2011,0.42908
Murray Hill/Stuyvesant,2011,0.19712
Upper West Side,2011,0.60934
Upper East Side,2011,0.11563
Manhattanville,2011,3.44619
Central Harlem,2011,6.19262
East Harlem,2011,6.18556
Washington Heights,2011,2.54839
Bronx,2011,8.79153
Mott Haven,2011,12.68572
Hunts Point,2011,14.41655
Morrisania,2011,16.99357
Concourse/Highbridge,2011,20.27287
University Heights,2011,12.76324
East Tremont,2011,9.39128
Bedford Park,2011,8.48867
Riverdale,2011,1.76823
Unionport/Soundview,2011,7.31909
Throgs Neck,2011,1.95214
Pelham Parkway,2011,3.93488
Williamsbridge,2011,7.92642
Brooklyn,2011,3.68328
Williamsburg/Greenpoint,2011,1.74742
Fort Greene/Brooklyn Hts,2011,1.48975
Bedford Stuyvesant,2011,11.64533
Bushwick,2011,6.41284
East New York,2011,11.67255
Park Slope,2011,1.34765
Sunset Park,2011,1.38311
Crown Heights North,2011,5.25872
Crown Heights South,2011,4.20145
Bay Ridge,2011,0.51013
Bensonhurst,2011,0.38335
Borough Park,2011,0.64819
Coney Island,2011,1.95326
Flatbush/Midwood,2011,2.24617
Sheepshead Bay,2011,0.54434
Brownsville,2011,9.86981
East Flatbush,2011,6.24395
Canarsie,2011,2.26985
Queens,2011,1.66283
Astoria,2011,1.15931
Sunnyside/Woodside,2011,0.334
Jackson Heights,2011,1.1075
Elmhurst/Corona,2011,1.05478
Ridgewood/Glendale,2011,0.65602
Rego Park/Forest Hills,2011,0.20255
Flushing,2011,0.39258
Fresh Meadows/Briarwood,2011,0.59323
Woodhaven,2011,2.26346
Howard Beach,2011,1.94681
Bayside,2011,0.1226
Jamaica/St. Albans,2011,6.15123
Queens Village,2011,1.8369
The Rockaways,2011,6.38903
Staten Island,2011,1.60613
St. George,2011,3.90797
South Beach,2011,0.43228
Tottenville,2011,0.25591
New York City,2012,3.25003
Manhattan,2012,1.38479
Battery Park/Tribeca,2012,0.06551
Greenwich Village,2012,0.0
Lower East Side,2012,0.85872
Chelsea/Clinton,2012,0.3396
Midtown Business District,2012,0.49997
Murray Hill/Stuyvesant,2012,0.08802
Upper West Side,2012,0.31589
Upper East Side,2012,0.03364
Manhattanville,2012,1.42358
Central Harlem,2012,2.0567
East Harlem,2012,2.29717
Washington Heights,2012,1.01762
Bronx,2012,7.8407
Mott Haven,2012,4.8328
Hunts Point,2012,6.27761
Morrisania,2012,5.83571
Concourse/Highbridge,2012,5.32524
University Heights,2012,5.30284
East Tremont,2012,6.84416
Bedford Park,2012,3.1842
Riverdale,2012,0.56324
Unionport/Soundview,2012,3.09658
Throgs Neck,2012,0.71701
Pelham Parkway,2012,1.60336
Williamsbridge,2012,4.14359
Brooklyn,2012,3.1425
Williamsburg/Greenpoint,2012,0.63288
Fort Greene/Brooklyn Hts,2012,0.59279
Bedford Stuyvesant,2012,4.78106
Bushwick,2012,2.56562
East New York,2012,5.83486
Park Slope,2012,0.3949
Sunset Park,2012,0.5502
Crown Heights North,2012,2.21982
Crown Heights South,2012,1.63411
Bay Ridge,2012,0.08256
Bensonhurst,2012,0.23471
Borough Park,2012,0.23508
Coney Island,2012,0.79758
Flatbush/Midwood,2012,1.03708
Sheepshead Bay,2012,0.329
Brownsville,2012,3.84162
East Flatbush,2012,2.85602
Canarsie,2012,0.88027
Queens,2012,1.53521
Astoria,2012,0.38402
Sunnyside/Woodside,2012,0.1321
Jackson Heights,2012,0.46518
Elmhurst/Corona,2012,0.26673
Ridgewood/Glendale,2012,0.42231
Rego Park/Forest Hills,2012,0.05672
Flushing,2012,0.12606
Fresh Meadows/Briarwood,2012,0.23958
Woodhaven,2012,1.02048
Howard Beach,2012,0.67695
Bayside,2012,0.04505
Jamaica/St. Albans,2012,2.39186
Queens Village,2012,0.99513
The Rockaways,2012,2.11736
Staten Island,2012,1.57829
St. George,2012,1.73546
South Beach,2012,0.17328
Tottenville,2012,0.08893
New York City,2013,3.55251
Manhattan,2013,1.56535
Battery Park/Tribeca,2013,0.22279
Greenwich Village,2013,0.06468
Lower East Side,2013,1.72299
Chelsea/Clinton,2013,0.58615
Midtown Business District,2013,0.71781
Murray Hill/Stuyvesant,2013,0.18193
Upper West Side,2013,0.62493
Upper East Side,2013,0.12928
Manhattanville,2013,2.41252
Central Harlem,2013,4.23561
East Harlem,2013,5.54516
Washington Heights,2013,1.65908
Bronx,2013,8.49228
Mott Haven,2013,10.4468
Hunts Point,2013,12.75628
Morrisania,2013,13.61466
Concourse/Highbridge,2013,11.02242
University Heights,2013,10.16179
East Tremont,2013,15.63567
Bedford Park,2013,7.25818
Riverdale,2013,1.25045
Unionport/Soundview,2013,5.68932
Throgs Neck,2013,1.79224
Pelham Parkway,2013,3.42956
Williamsbridge,2013,7.48983
Brooklyn,2013,3.47816
Williamsburg/Greenpoint,2013,1.03042
Fort Greene/Brooklyn Hts,2013,1.62159
Bedford Stuyvesant,2013,9.97727
Bushwick,2013,4.38836
East New York,2013,11.16265
Park Slope,2013,0.93658
Sunset Park,2013,0.80578
Crown Heights North,2013,3.91162
Crown Heights South,2013,3.24801
Bay Ridge,2013,0.28163
Bensonhurst,2013,0.33177
Borough Park,2013,0.61173
Coney Island,2013,1.62273
Flatbush/Midwood,2013,2.02064
Sheepshead Bay,2013,0.57839
Brownsville,2013,8.76992
East Flatbush,2013,5.68379
Canarsie,2013,1.86489
Queens,2013,1.56074
Astoria,2013,1.07861
Sunnyside/Woodside,2013,0.27439
Jackson Heights,2013,0.76899
Elmhurst/Corona,2013,0.74099
Ridgewood/Glendale,2013,0.58835
Rego Park/Forest Hills,2013,0.09622
Flushing,2013,0.19368
Fresh Meadows/Briarwood,2013,0.69123
Woodhaven,2013,1.41499
Howard Beach,2013,1.33246
Bayside,2013,0.09353
Jamaica/St. Albans,2013,4.91281
Queens Village,2013,1.73731
The Rockaways,2013,4.49009
Staten Island,2013,1.50332
St. George,2013,3.13704
South Beach,2013,0.43266
Tottenville,2013,0.15633
New York City,2014,3.57844
Manhattan,2014,1.74357
Battery Park/Tribeca,2014,0.31827
Greenwich Village,2014,0.12936
Lower East Side,2014,1.81211
Chelsea/Clinton,2014,0.85086
Midtown Business District,2014,0.68003
Murray Hill/Stuyvesant,2014,0.20792
Upper West Side,2014,0.79733
Upper East Side,2014,0.19823
Manhattanville,2014,3.51918
Central Harlem,2014,4.95656
East Harlem,2014,6.81454
Washington Heights,2014,2.04194
Bronx,2014,7.80132
Mott Haven,2014,11.82054
Hunts Point,2014,12.58844
Morrisania,2014,12.80949
Concourse/Highbridge,2014,8.8475
University Heights,2014,9.53782
East Tremont,2014,12.41038
Bedford Park,2014,6.81617
Riverdale,2014,1.2264
Unionport/Soundview,2014,5.76518
Throgs Neck,2014,1.63541
Pelham Parkway,2014,3.3356
Williamsbridge,2014,7.16512
Brooklyn,2014,3.4115
Williamsburg/Greenpoint,2014,1.34747
Fort Greene/Brooklyn Hts,2014,1.31529
Bedford Stuyvesant,2014,9.27323
Bushwick,2014,4.62852
East New York,2014,10.63469
Park Slope,2014,1.05874
Sunset Park,2014,1.02356
Crown Heights North,2014,4.29891
Crown Heights South,2014,2.9129
Bay Ridge,2014,0.28163
Bensonhurst,2014,0.55295
Borough Park,2014,0.43695
Coney Island,2014,1.42266
Flatbush/Midwood,2014,2.11004
Sheepshead Bay,2014,0.6485
Brownsville,2014,8.83879
East Flatbush,2014,5.77057
Canarsie,2014,1.92504
Queens,2014,1.53269
Astoria,2014,0.99871
Sunnyside/Woodside,2014,0.33319
Jackson Heights,2014,1.00824
Elmhurst/Corona,2014,0.58381
Ridgewood/Glendale,2014,0.81097
Rego Park/Forest Hills,2014,0.15396
Flushing,2014,0.35318
Fresh Meadows/Briarwood,2014,0.54177
Woodhaven,2014,1.56283
Howard Beach,2014,1.33246
Bayside,2014,0.18706
Jamaica/St. Albans,2014,4.53916
Queens Village,2014,1.50785
The Rockaways,2014,4.25784
Staten Island,2014,1.44366
St. George,2014,3.21831
South Beach,2014,0.22663
Tottenville,2014,0.13896
New York City,2015,3.81094
Manhattan,2015,1.78637
Battery Park/Tribeca,2015,0.35725
Greenwich Village,2015,0.08806
Lower East Side,2015,1.75599
Chelsea/Clinton,2015,1.04451
Midtown Business District,2015,0.63827
Murray Hill/Stuyvesant,2015,0.14395
Upper West Side,2015,0.9278
Upper East Side,2015,0.20864
Manhattanville,2015,3.01269
Central Harlem,2015,5.82322
East Harlem,2015,6.49378
Washington Heights,2015,1.6094
Bronx,2015,8.58908
Mott Haven,2015,13.40928
Hunts Point,2015,12.43242
Morrisania,2015,14.77905
Concourse/Highbridge,2015,9.63757
University Heights,2015,9.97801
East Tremont,2015,13.19541
Bedford Park,2015,6.90846
Riverdale,2015,1.93517
Unionport/Soundview,2015,6.84127
Throgs Neck,2015,2.06273
Pelham Parkway,2015,3.82834
Williamsbridge,2015,8.62196
Brooklyn,2015,3.55784
Williamsburg/Greenpoint,2015,1.59069
Fort Greene/Brooklyn Hts,2015,1.30881
Bedford Stuyvesant,2015,10.08519
Bushwick,2015,4.6071
East New York,2015,12.14433
Park Slope,2015,1.28413
Sunset Park,2015,1.23204
Crown Heights North,2015,3.98916
Crown Heights South,2015,3.14429
Bay Ridge,2015,0.48401
Bensonhurst,2015,0.43022
Borough Park,2015,0.50776
Coney Island,2015,1.71289
Flatbush/Midwood,2015,2.13242
Sheepshead Bay,2015,0.73174
Brownsville,2015,8.45721
East Flatbush,2015,5.858
Canarsie,2015,1.87519
Queens,2015,1.72442
Astoria,2015,1.27149
Sunnyside/Woodside,2015,0.50133
Jackson Heights,2015,1.01057
Elmhurst/Corona,2015,1.1044
Ridgewood/Glendale,2015,0.92155
Rego Park/Forest Hills,2015,0.11319
Flushing,2015,0.31218
Fresh Meadows/Briarwood,2015,0.77507
Woodhaven,2015,2.02243
Howard Beach,2015,1.291
Bayside,2015,0.11904
Jamaica/St. Albans,2015,5.03205
Queens Village,2015,1.91814
The Rockaways,2015,5.13747
Staten Island,2015,1.52871
St. George,2015,3.57985
South Beach,2015,0.29051
Tottenville,2015,0.21548
New York City,2016,4.27345
New York City,2017,3.98617
New York City,2018,3.81567
New York City,2019,3.72622
